repo_name,stars,forks,issues,license_type,num_files,num_cpp_files
google/benchmark,1803,384,108,Permissive,167,71
gabime/spdlog,6830,1438,362,Permissive,159,37
p-ranav/argparse,1048,129,68,Permissive,65,49
Neargye/magic_enum,1478,190,71,Permissive,43,24
marella/ctransformers,1280,107,161,Permissive,60,15
axstin/rbxfpsunlocker,1228,396,0,Permissive,18,7
chengxumiaodaren/cpp-learning,1250,172,1,no license file was found,9,8
baowenbo/DAIN,1033,101,7,Permissive,109,9
callmePicacho/Data-Structres,1244,134,0,Permissive,8,5
stylegan-human/StyleGAN-Human,1020,122,44,no license file was found,106,7
microsoft/Detours,1260,233,35,Permissive,158,90
zhongyang219/TrafficMonitor,13556,1139,465,no license file was found,170,75
Tencent/libco,1054,241,9,no license file was found,25,14
lottie-react-native/lottie-react-native,1565,222,136,Permissive,149,6
google/re2,1744,220,70,Permissive,108,55
hsutter/cppfront,4661,204,506,no license file was found,140,115
google/highway,2269,158,162,Permissive,185,97
idea4good/GuiLite,1036,110,4,Permissive,38,5
libcpr/cpr,1484,198,142,Permissive,145,63
bombela/backward-cpp,1061,125,35,Permissive,19,10
Avinash987/Coding,1646,543,5,no license file was found,137,88
nuttyartist/notes,2743,145,191,Permissive,147,48
34736384/genshin-fps-unlock,1345,108,162,no license file was found,18,6
qinguoyi/TinyWebServer,7632,1819,121,Permissive,38,7
TonyChen56/WeChatRobot,1505,411,5,no license file was found,73,32
weak1337/Alcatraz,1337,209,19,no license file was found,41,21
aristocratos/btop,7236,271,200,Permissive,62,25
microsoft/wslg,2256,121,314,Permissive,57,10
applenob/Cpp_Primer_Practice,3412,797,9,no license file was found,102,39
PetoiCamp/OpenCat,1907,185,19,Permissive,174,28
flightlessmango/MangoHud,1976,133,307,Permissive,145,51
nomic-ai/gpt4all-chat,1246,144,209,no license file was found,49,13
ttroy50/cmake-examples,3662,706,7,Permissive,128,47
SpacehuhnTech/esp8266_deauther,2833,477,106,Permissive,147,37
hoffstadt/DearPyGui,4118,347,289,Permissive,194,53
LeadCoding/3-weeks-Google-Prep,1284,607,1,no license file was found,41,36
LaurentMazare/tch-rs,1889,154,212,Permissive,165,5
zjhellofss/KuiperInfer,1572,184,17,Permissive,147,129
patriciogonzalezvivo/glslViewer,1307,112,57,Permissive,131,14
alphacep/vosk-api,3119,407,470,Permissive,187,7
trustedsec/social-engineer-toolkit,2256,435,86,no license file was found,135,10
google/leveldb,5748,1444,66,Permissive,144,76
RayTracing/raytracing.github.io,2428,312,141,Permissive,125,19
josStorer/RWKV-Runner,3021,270,206,Permissive,191,9
NVlabs/tiny-cuda-nn,1873,313,237,Permissive,101,5
ashawkey/torch-ngp,1535,255,136,Permissive,86,5
mawww/kakoune,1614,149,184,Permissive,155,136
ocornut/imgui,16288,4119,1335,Permissive,185,45
ninja-build/ninja,2241,324,107,Permissive,131,66
google/glog,1376,257,83,Permissive,87,32
fmtlib/fmt,4790,710,521,no license file was found,113,44
nmslib/hnswlib,1660,192,75,Permissive,62,19
cppla/ServerStatus,1821,269,69,Permissive,40,5
rhasspy/piper,1738,132,188,Permissive,119,6
microsoft/wslg,2256,121,314,Permissive,57,10
cszn/KAIR,1031,250,36,Permissive,179,5
LANDrop/LANDrop,2096,139,60,Permissive,38,14
TonyChen56/WeChatRobot,1505,411,5,no license file was found,73,32
justcallmekoko/ESP32Marauder,2847,306,171,no license file was found,61,16
abuanwar072/Flutter-Responsive-Admin-Panel-or-Dashboard,1701,672,13,Permissive,72,6
barry-ran/QtScrcpy,6481,791,215,Permissive,72,15
yhirose/cpp-httplib,4222,777,319,Permissive,46,18
google/benchmark,1803,384,108,Permissive,166,71
react-native-webview/react-native-webview,1394,752,527,Permissive,150,8
stylegan-human/StyleGAN-Human,1020,122,44,no license file was found,117,7
trustedsec/social-engineer-toolkit,2256,435,86,no license file was found,162,10
nothings/stb,5724,2170,96,no license file was found,112,5
Automattic/node-canvas,1234,168,236,Permissive,125,16
leejet/stable-diffusion.cpp,1798,109,38,Permissive,39,20
libcpr/cpr,1484,198,142,no license file was found,152,67
ProjectPhysX/FluidX3D,2708,229,94,no license file was found,46,20
applenob/Cpp_Primer_Practice,3412,797,9,no license file was found,103,40
PetoiCamp/OpenCat,1907,185,19,Permissive,177,28
p-ranav/argparse,1048,129,68,Permissive,69,52
gaoxiang12/slambook,1302,382,7,Permissive,185,63
KhronosGroup/MoltenVK,1091,109,240,Permissive,132,8
focus-creative-games/hybridclr,5220,548,104,Permissive,76,34
tranek/GASDocumentation,1741,316,28,Permissive,56,26
nihui/opencv-mobile,1077,139,32,Permissive,53,19
niuhuan/jasmine,3036,232,99,Permissive,164,10
bombela/backward-cpp,1061,125,35,Permissive,19,10
li-plus/chatglm.cpp,1688,239,125,Permissive,35,5
mikebrady/shairport-sync,1249,115,172,no license file was found,137,6
flightlessmango/MangoHud,1976,133,307,Permissive,152,55
R3nzTheCodeGOD/R3nzSkin,3702,536,716,Permissive,67,52
CrowCpp/Crow,1519,211,212,Permissive,137,28
hsutter/cppfront,4661,204,506,no license file was found,167,122
floooh/sokol,1989,202,168,Permissive,102,17
google/re2,1744,220,70,Permissive,110,55
thedmd/imgui-node-editor,1163,210,82,Permissive,86,31
ocornut/imgui,16288,4119,1335,Permissive,186,45
nuttyartist/notes,2743,145,191,Permissive,148,48
changkun/modern-cpp-tutorial,5752,800,17,Permissive,139,59
ninja-build/ninja,2241,324,107,Permissive,134,67
google/glog,1376,257,83,Permissive,106,33
id-Software/DOOM,3515,604,0,no license file was found,147,12
zeux/meshoptimizer,1503,182,74,Permissive,89,40
chengxumiaodaren/cpp-learning,1250,172,1,no license file was found,9,8
qinguoyi/TinyWebServer,7632,1819,121,Permissive,38,7
uNetworking/uWebSockets,2806,287,109,Permissive,98,35
idea4good/GuiLite,1036,110,4,Permissive,38,5
BlinkDL/RWKV-LM,9746,613,152,Permissive,75,9
LaurentMazare/tch-rs,1889,154,212,Permissive,165,5
patriciogonzalezvivo/glslViewer,1307,112,57,Permissive,131,14
ShiqiYu/CPP,1229,234,4,no license file was found,191,134
lovell/sharp,5003,241,578,Permissive,146,7
alphacep/vosk-api,3119,407,470,Permissive,194,8
abcz316/SKRoot-linuxKernelRoot,1383,403,51,no license file was found,112,18
lionsoul2014/ip2region,4451,719,58,Permissive,157,8
tdlib/telegram-bot-api,1045,232,207,Permissive,23,9
aristocratos/btop,7236,271,200,Permissive,64,25
rhasspy/piper,1738,132,188,Permissive,129,6
madler/zlib,1487,602,116,Permissive,167,5
romkatv/powerlevel10k,13671,857,571,Permissive,67,16
lottie-react-native/lottie-react-native,1565,222,136,Permissive,145,6
mozilla/sccache,2029,155,190,Permissive,120,5
microsoft/MS-DOS,1451,292,0,Permissive,169,134
NVlabs/tiny-cuda-nn,1873,313,237,Permissive,101,5
PRBonn/kiss-icp,1076,246,141,Permissive,89,18
Neargye/magic_enum,1478,190,71,Permissive,42,24
banach-space/llvm-tutor,1048,156,18,Permissive,48,13
mawww/kakoune,1614,149,184,Permissive,154,136
daquexian/onnx-simplifier,1298,126,110,Permissive,21,5
hoffstadt/DearPyGui,4118,347,289,Permissive,195,53
SysSec-KAIST/LTESniffer,1077,111,19,no license file was found,133,34
scottbez1/smartknob,12029,737,74,Permissive,117,15
wjakob/nanobind,1045,101,64,Permissive,159,32
recastnavigation/recastnavigation,1256,310,62,Permissive,150,59
NVIDIA-AI-IOT/torch2trt,1036,120,132,Permissive,131,6
mrpond/BlockTheSpot,4566,359,105,Permissive,37,11
tomlooman/ActionRoguelike,1275,360,4,no license file was found,97,46
AaronFeng753/Waifu2x-Extension-GUI,5019,289,180,no license file was found,53,32
ZachL1/Bilibili-plus,1403,293,2,no license file was found,110,31
fmtlib/fmt,4790,710,521,Permissive,121,44
lovell/sharp,5003,241,578,Permissive,144,7
li-plus/chatglm.cpp,1688,239,125,Permissive,35,5
lava/matplotlib-cpp,1069,279,33,Permissive,28,19
banach-space/llvm-tutor,1048,156,18,Permissive,48,13
nihui/opencv-mobile,1077,139,32,Permissive,37,11
R3nzTheCodeGOD/R3nzSkin,3702,536,716,Permissive,69,53
SysSec-KAIST/LTESniffer,1077,111,19,no license file was found,132,34
scottbez1/smartknob,12029,737,74,Permissive,114,15
thedmd/imgui-node-editor,1163,210,82,Permissive,86,31
ggerganov/ggml,7478,674,264,Permissive,164,40
uNetworking/uWebSockets,2806,287,109,Permissive,108,35
mrpond/BlockTheSpot,4566,359,105,Permissive,33,9
justcallmekoko/ESP32Marauder,2847,306,171,Permissive,56,15
leejet/stable-diffusion.cpp,1798,109,38,Permissive,35,17
barry-ran/QtScrcpy,6481,791,215,Permissive,118,15
daquexian/onnx-simplifier,1298,126,110,Permissive,21,5
ztxz16/fastllm,2439,267,277,Permissive,161,28
KhronosGroup/MoltenVK,1091,109,240,Permissive,130,8
abuanwar072/Flutter-Responsive-Admin-Panel-or-Dashboard,1701,672,13,Permissive,72,6
davidrmiller/biosim4,1080,170,18,Permissive,48,24
ggerganov/kbd-audio,3527,165,12,Permissive,55,31
GPUOpen-Effects/FidelityFX-FSR2,1666,166,88,Permissive,148,29
pytorch/examples,3409,1377,90,Permissive,194,9
JakubVojvoda/design-patterns-cpp,1481,285,1,Permissive,47,24
NVIDIA-AI-IOT/torch2trt,1036,120,132,Permissive,186,6
tindy2013/stairspeedtest-reborn,1114,279,21,Permissive,68,20
tranek/GASDocumentation,1741,316,28,Permissive,58,27
gaoxiang12/slambook2,1969,697,48,Permissive,116,50
markparticle/WebServer,1917,371,41,Permissive,55,11
LongSoft/UEFITool,1069,162,68,Permissive,193,53
chaitin/SafeLine,3375,197,192,no license file was found,152,27
ravenscroftj/turbopilot,3444,128,40,Permissive,32,11
laserpants/qt-material-widgets,1073,205,5,Permissive,187,68
Automattic/node-canvas,1234,168,236,Permissive,136,16
mikebrady/shairport-sync,1249,115,172,Permissive,137,6
CrowCpp/Crow,1519,211,212,Permissive,123,25
harmonoid/harmonoid,1757,117,168,no license file was found,122,8
Megvii-BaseDetection/YOLOX,2836,849,402,Permissive,138,6
wangyu-/udp2raw,1521,192,47,Permissive,66,17
changkun/modern-cpp-tutorial,5752,800,17,Permissive,139,59
wjakob/nanobind,1045,101,64,Permissive,149,30
PanQiWei/AutoGPTQ,2601,249,260,Permissive,131,6
react-native-webview/react-native-webview,1394,752,527,Permissive,143,8
LANDrop/LANDrop,2096,139,60,Permissive,37,14
romkatv/powerlevel10k,13671,857,571,Permissive,67,16
linyacool/WebServer,2553,527,17,Permissive,160,66
anhkgg/SuperRDP,1320,191,163,Permissive,17,6
llSourcell/DoctorGPT,3130,313,22,Permissive,196,6
open-source-parsers/jsoncpp,1503,394,58,Permissive,137,12
AaronFeng753/Waifu2x-Extension-GUI,5019,289,180,no license file was found,53,32
yhirose/cpp-httplib,4222,777,319,Permissive,42,17
nothings/stb,5724,2170,96,Permissive,108,5
BlinkDL/RWKV-LM,9746,613,152,Permissive,64,7
gaoxiang12/slambook,1302,382,7,Permissive,182,63
tomlooman/ActionRoguelike,1275,360,4,no license file was found,97,46
nmslib/hnswlib,1660,192,75,Permissive,60,19
ShiqiYu/CPP,1229,234,4,no license file was found,183,134
cszn/KAIR,1031,250,36,Permissive,175,5
zeux/meshoptimizer,1503,182,74,Permissive,88,40