repo_name,stars,forks,issues,license_type,num_files,num_rust_files
lionsoul2014/ip2region,4451,719,58,Permissive,134,6
image-rs/image,1507,172,166,Permissive,118,101
dtolnay/proc-macro-workshop,1482,428,10,Permissive,71,60
bheisler/criterion.rs,1498,102,101,Permissive,147,87
ihciah/shadow-tls,2080,262,81,Permissive,26,11
XAMPPRocky/tokei,2746,151,52,Permissive,100,24
crossbeam-rs/crossbeam,2115,123,77,Permissive,150,111
tokio-rs/prost,1175,153,133,Permissive,144,61
Geal/nom,1158,109,37,Permissive,89,60
messense/aliyundrive-webdav,6432,694,178,Permissive,36,8
Reamd7/notion-zh_CN,5190,820,84,no license file was found,25,6
rustls/rustls,1683,227,171,Permissive,171,137
zeeka-network/bazuka,1028,320,8,Permissive,177,156
kitao/pyxel,3352,232,87,Permissive,168,56
skyzh/mini-lsm,1297,142,12,Permissive,118,74
a16z/helios,1453,209,69,Permissive,93,57
tokio-rs/mio,1140,134,52,Permissive,84,78
sigoden/dufs,3015,175,116,Permissive,42,28
benfred/py-spy,2917,104,80,Permissive,65,36
chronotope/chrono,1101,251,189,Permissive,64,45
rust-lang/mdBook,6461,624,240,Permissive,182,58
zdz/ServerStatus-Rust,1252,308,61,Permissive,61,30
dandavison/delta,6426,136,172,Permissive,143,79
elkowar/eww,5295,270,322,Permissive,119,74
GyulyVGC/sniffnet,11768,338,130,Permissive,143,126
BLAKE3-team/BLAKE3,1118,126,59,Permissive,73,31
Genymobile/gnirehtet,1413,121,79,Permissive,102,31
LaurentMazare/tch-rs,1889,154,212,Permissive,165,117
CleanCut/ultimate_rust_crash_course,1121,629,1,Permissive,34,13
hyperium/hyper,3851,425,249,Permissive,118,86
not-fl3/macroquad,1289,178,147,Permissive,122,106
influxdata/influxdb,3942,432,619,Permissive,88,54
Rikorose/DeepFilterNet,1365,130,177,no license file was found,128,21
quinn-rs/quinn,1104,155,130,Permissive,111,86
rust-lang/rustlings,21746,5353,190,Permissive,159,112
svenstaro/miniserve,2083,127,89,Permissive,47,28
sharkdp/fd,8595,249,179,Permissive,42,23
tokio-rs/mio,1140,134,52,Permissive,83,77
epi052/feroxbuster,2265,181,91,Permissive,123,89
yitter/IdGenerator,1153,141,41,Permissive,137,10
serde-rs/serde,2934,270,247,Permissive,182,164
ekzhang/bore,7215,284,66,Permissive,21,8
seanmonstar/reqwest,3088,349,259,Permissive,76,64
CleanCut/ultimate_rust_crash_course,1121,629,1,Permissive,35,14
huggingface/safetensors,1677,107,103,Permissive,83,6
crossbeam-rs/crossbeam,2115,123,77,Permissive,153,114
not-fl3/macroquad,1289,178,147,Permissive,123,107
rustwasm/wasm-pack,1550,127,131,Permissive,124,62
serde-rs/json,1416,181,128,Permissive,76,70
image-rs/image,1507,172,166,Permissive,113,95
sigoden/dufs,3015,175,116,no license file was found,44,29
GyulyVGC/sniffnet,11768,338,130,Permissive,154,132
kitao/pyxel,3352,232,87,Permissive,177,57
niuhuan/jasmine,3036,232,99,Permissive,164,5
tailwindlabs/tailwindcss,20501,1611,774,Permissive,154,10
cloudflare/quiche,2505,248,135,Permissive,115,80
BLAKE3-team/BLAKE3,1118,126,59,Permissive,78,34
tokio-rs/mini-redis,1634,210,11,Permissive,31,27
messense/aliyundrive-webdav,6432,694,178,Permissive,37,8
dtolnay/proc-macro-workshop,1482,428,10,Permissive,71,60
chronotope/chrono,1101,251,189,Permissive,65,47
seanmonstar/warp,2911,195,68,Permissive,100,89
rapiz1/rathole,3154,181,97,Permissive,65,20
Reamd7/notion-zh_CN,5190,820,84,no license file was found,28,6
qarmin/czkawka,6567,205,308,no license file was found,147,95
ogham/exa,6179,247,120,Permissive,104,55
rust-lang/mdBook,6461,624,240,Permissive,186,60
rusqlite/rusqlite,1039,115,80,Permissive,88,66
sigoden/aichat,1544,123,84,Permissive,74,53
XAMPPRocky/tokei,2746,151,52,Permissive,105,25
plotters-rs/plotters,1354,114,84,Permissive,166,136
LaurentMazare/tch-rs,1889,154,212,Permissive,165,117
crossterm-rs/crossterm,1196,120,101,Permissive,74,63
dandavison/delta,6426,136,172,Permissive,143,79
lapce/lapce,21612,829,1276,Permissive,187,134
sharkdp/hyperfine,7197,130,76,Permissive,55,40
elkowar/eww,5295,270,322,Permissive,131,85
lionsoul2014/ip2region,4451,719,58,Permissive,157,8
juhaku/utoipa,1483,129,304,Permissive,155,92
tensorflow/rust,1286,131,30,Permissive,115,89
erikgrinaker/toydb,2235,267,5,Permissive,76,59
cberner/redb,2248,131,159,Permissive,66,54
tokio-rs/prost,1175,153,133,Permissive,168,75
tw93/Pake,18889,2985,211,Permissive,73,8
denisidoro/navi,3252,108,47,Permissive,75,48
mozilla/sccache,2029,155,190,Permissive,120,65
BurntSushi/ripgrep,11389,575,177,Permissive,140,98
zesterer/chumsky,2069,123,159,Permissive,62,41
ajeetdsouza/zoxide,6792,396,162,Permissive,49,18
benfred/py-spy,2917,104,80,Permissive,66,36
neovide/neovide,4894,284,562,Permissive,117,70
rustformers/llm,2326,174,129,Permissive,95,51
ihciah/shadow-tls,2080,262,81,Permissive,26,11
hyperium/hyper,3851,425,249,Permissive,119,87
skyzh/mini-lsm,1297,142,12,Permissive,187,126
a16z/helios,1453,209,69,Permissive,93,57
valeriansaliou/sonic,6095,137,23,Permissive,141,117
tauri-apps/tao,1006,120,125,Permissive,132,109
quinn-rs/quinn,1104,155,130,Permissive,108,85
ekzhang/bore,7215,284,66,Permissive,21,8
fathyb/carbonyl,13324,305,113,Permissive,80,41
ajeetdsouza/zoxide,6792,396,162,Permissive,49,18
trickster0/OffensiveRust,1358,172,4,no license file was found,173,86
rapiz1/rathole,3154,181,97,Permissive,64,19
tower-rs/tower,1168,108,30,Permissive,154,131
casey/just,9168,214,266,Permissive,190,161
rust-lang/rustlings,21746,5353,190,Permissive,160,112
pingcap/talent-plan,2338,369,8,Permissive,191,91
fdehau/tui-rs,4213,202,37,Permissive,70,60
tokio-rs/mini-redis,1634,210,11,Permissive,31,27
seanmonstar/warp,2911,195,68,Permissive,100,89
cloudflare/workers-rs,1167,162,113,Permissive,142,86
LukeMathWalker/zero-to-production,2264,310,72,Permissive,87,45
ijl/orjson,2031,103,140,Permissive,124,50
crossterm-rs/crossterm,1196,120,101,Permissive,73,62
seanmonstar/reqwest,3088,349,259,Permissive,75,63
huggingface/safetensors,1677,107,103,Permissive,81,6
rustwasm/wasm-pack,1550,127,131,Permissive,124,62
juhaku/utoipa,1483,129,304,Permissive,136,85
cloudwego/volo,1849,131,38,Permissive,178,140
erikgrinaker/toydb,2235,267,5,Permissive,81,57
BurntSushi/ripgrep,11389,575,177,Permissive,140,98
valeriansaliou/sonic,6095,137,23,Permissive,141,117
rusqlite/rusqlite,1039,115,80,Permissive,84,63
svenstaro/miniserve,2083,127,89,Permissive,47,28
szabodanika/microbin,1814,139,143,Permissive,56,26
sharkdp/hyperfine,7197,130,76,Permissive,54,40
tensorflow/rust,1286,131,30,Permissive,115,89
tauri-apps/wry,1734,147,141,Permissive,76,36
thedodd/trunk,1649,144,169,Permissive,150,54
Rikorose/DeepFilterNet,1365,130,177,Permissive,125,20
LGUG2Z/komorebi,4735,113,167,Permissive,60,35
yitter/IdGenerator,1153,141,41,Permissive,133,10
serde-rs/json,1416,181,128,Permissive,78,72
ClassmateLin/dm-ticket,7828,1663,247,Permissive,28,19
rustformers/llm,2326,174,129,Permissive,95,51
ogham/exa,6179,247,120,Permissive,104,55
spacejam/sled,1784,108,27,Permissive,115,82
alacritty/alacritty,13123,1257,970,Permissive,166,84
zesterer/chumsky,2069,123,159,Permissive,62,41
denisidoro/navi,3252,108,47,Permissive,75,48
mitsuhiko/rye,7120,181,213,Permissive,126,40
sharkdp/fd,8595,249,179,Permissive,39,23
Rigellute/spotify-tui,4460,156,89,Permissive,57,45
extrawurst/gitui,7082,236,258,Permissive,191,153
serde-rs/serde,2934,270,247,Permissive,177,163
cloudflare/boringtun,1461,150,46,Permissive,40,30
sigoden/aichat,1544,123,84,Permissive,39,30
Cormanz/smartgpt,1588,116,17,Permissive,59,51
cloudflare/quiche,2505,248,135,Permissive,107,74
neovide/neovide,4894,284,562,Permissive,110,63
qarmin/czkawka,6567,205,308,no license file was found,144,92
epi052/feroxbuster,2265,181,91,Permissive,120,88
cberner/redb,2248,131,159,Permissive,65,53
mozilla/sccache,2029,155,190,Permissive,116,63